student_id,province,region_group,user_type,staple_tags,taste_tags,food_keywords,service_tags,normalized_staple_tags,normalized_taste_tags,normalized_food_tags,normalized_service_tags,preference_tags,budget_min,budget_max,waiting_tolerance_minutes,breakfast_arrival_minute,lunch_arrival_minute,dinner_arrival_minute
BJTU2025-BJ-001,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,10,20,16,57,37,44
BJTU2025-BJ-002,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,9,23,9,43,32,37
BJTU2025-BJ-003,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,11,22,16,46,37,42
BJTU2025-BJ-004,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,13,23,10,40,28,62
BJTU2025-BJ-005,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,11,25,9,53,48,36
BJTU2025-BJ-006,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,10,23,8,24,73,52
BJTU2025-BJ-007,北京,华北/京津冀,HURRY,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,27,8,22,39,46
BJTU2025-BJ-008,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,21,10,31,30,76
BJTU2025-BJ-009,北京,华北/京津冀,HURRY,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,16,28,8,13,41,49
BJTU2025-BJ-010,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,10,23,9,44,20,32
BJTU2025-BJ-011,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,9,21,11,29,48,41
BJTU2025-BJ-012,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,14,27,14,32,49,47
BJTU2025-BJ-013,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,25,9,42,46,29
BJTU2025-BJ-014,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,14,25,15,27,47,45
BJTU2025-BJ-015,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,22,12,60,36,58
BJTU2025-BJ-016,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,11,21,13,32,42,17
BJTU2025-BJ-017,北京,华北/京津冀,BUDGET_SENSITIVE,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,9,16,11,40,58,37
BJTU2025-BJ-018,北京,华北/京津冀,HURRY,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,14,23,5,43,44,30
BJTU2025-BJ-019,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,9,20,15,3,54,47
BJTU2025-BJ-020,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,10,23,13,29,38,51
BJTU2025-BJ-021,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,23,14,24,32,43
BJTU2025-BJ-022,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,13,26,10,38,28,55
BJTU2025-BJ-023,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,11,21,15,60,27,40
BJTU2025-BJ-024,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,11,20,10,47,50,41
BJTU2025-BJ-025,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,14,24,14,43,40,47
BJTU2025-BJ-026,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,26,16,23,26,37
BJTU2025-BJ-027,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,25,11,45,21,56
BJTU2025-BJ-028,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,11,22,9,32,17,72
BJTU2025-BJ-029,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,23,13,28,67,66
BJTU2025-BJ-030,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,10,24,13,56,44,30
BJTU2025-BJ-031,北京,华北/京津冀,BUDGET_SENSITIVE,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,9,17,14,17,42,47
BJTU2025-BJ-032,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,10,23,9,38,60,22
BJTU2025-BJ-033,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,11,21,10,15,25,46
BJTU2025-BJ-034,北京,华北/京津冀,HURRY,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,23,7,23,34,72
BJTU2025-BJ-035,北京,华北/京津冀,STUDENT,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,12,21,14,45,23,29
BJTU2025-BJ-036,北京,华北/京津冀,HURRY,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,16,24,8,32,43,39
BJTU2025-BJ-037,北京,华北/京津冀,BUDGET_SENSITIVE,面食|米饭,咸鲜|酱香,面食|涮肉|酱香小吃,面食窗口|咸鲜家常菜,面食|米饭,咸鲜|家常,面食|牛羊肉|家常|快餐,面食|咸鲜|家常,面食|米饭|咸鲜|家常|牛羊肉|快餐,8,17,16,26,39,43
