window_id,source_window_code,restaurant_id,restaurant_name,name,category,recommended_meal_period,open_hours,taste_tags,staple_tags,audience_tags,friendly_tags,normalized_taste_tags,normalized_staple_tags,normalized_audience_tags,normalized_friendly_tags,matching_tags,price_min,price_max,service_rate_per_minute,popularity,status
1,W001,1,学二餐厅,北方面点早餐档,包点/粥/早餐,BREAKFAST,07:00-09:00,家常|咸鲜,面食|粥,京津冀晋鲁豫|东北|西北同学,大众友好,家常|咸鲜,面食|粥,京津冀晋鲁豫|东北|西北同学,大众,家常|咸鲜|面食|粥|京津冀晋鲁豫|东北|西北同学|大众|包点|早餐,4.0,10.0,2.58,0.86,OPEN
2,W002,1,学二餐厅,经济自选打菜,大众家常菜,LUNCH,11:00-13:00,咸鲜|家常,米饭,全体学生|尤其日常高频用餐,可做半份|素食友好,咸鲜|家常,米饭,全体学生|尤其日常高频用餐,小份|素食,咸鲜|家常|米饭|全体学生|尤其日常高频用餐|小份|素食|快餐,8.0,18.0,2.05,0.61,OPEN
3,W003,1,学二餐厅,水饺馄饨窗口,饺子/馄饨,ALL,早餐 07:00-09:00；午餐 11:00-13:00；晚餐 17:00-19:00,鲜香|清淡,面食,北方同学|夜间轻量需求,大众友好,清淡,面食,北方同学|夜间轻量需求,大众,清淡|面食|北方同学|夜间轻量需求|大众|饺子|馄饨|水饺馄饨窗口,10.0,18.0,1.58,0.8,OPEN
4,W004,1,学二餐厅,家常汤面窗口,汤面/拌面,LUNCH,11:00-13:00,咸鲜|微辣可选,面食,面食偏好人群,可选不辣,咸鲜|辣味,面食,面食,可调辣,咸鲜|辣味|面食|可调辣|汤类|家常,9.0,16.0,1.5,0.7,OPEN
5,W005,2,学三餐厅,西北油泼面档,西北面食,LUNCH,07:00-14:00（早午餐）,香辣|蒜香,面食,陕甘宁青新及北方同学,可选不辣,辣味|家常,面食,陕甘宁青新及北方同学,可调辣,辣味|家常|面食|陕甘宁青新及北方同学|可调辣,12.0,20.0,1.52,0.82,OPEN
6,W006,2,学三餐厅,重庆嗦粉档,米粉/小吃,LUNCH,07:00-14:00（早午餐）,麻辣|酸辣,米粉,川渝湘鄂|贵州同学,辣度可调,辣味|酸香,粉面,川渝湘鄂|贵州同学,辣味|可调辣,辣味|酸香|粉面|川渝湘鄂|贵州同学|可调辣|快餐,12.0,22.0,1.56,0.82,OPEN
7,W007,2,学三餐厅,三杯鸡盖饭档,盖饭/台式风味,LUNCH,07:00-14:00（早午餐）,酱香|甜咸,米饭,华东|华南|北方均可接受,大众友好,家常|甜口,米饭,华东|华南|北方均可接受,大众,家常|甜口|米饭|华东|华南|北方均可接受|大众|台式风味,15.0,26.0,2.05,0.78,OPEN
8,W008,2,学三餐厅,渔粉米线档,鱼粉/米线,DINNER,17:00-21:00,鲜香|酸辣可选,米粉|米线,湖南|江西|云南|贵州同学,可选不辣,清淡|辣味|酸香,粉面,湖南|江西|云南|贵州同学,可调辣,清淡|辣味|酸香|粉面|湖南|江西|云南|贵州同学|可调辣,14.0,24.0,1.6,0.63,OPEN
9,W009,2,学三餐厅,广式甜品芋圆档,甜品/冷饮,ALL,晚餐至21:00,清甜,甜品,华南|女生宿舍区|下午茶需求,轻食友好,甜口,甜口,华南|女生宿舍区|下午茶需求,轻食|健康,甜口|华南|女生宿舍区|下午茶需求|轻食|健康|冷饮,8.0,18.0,1.36,0.7,OPEN
10,W010,3,清真餐厅,兰州牛肉面窗口,清真面食,ALL,早餐 07:00-09:00；午餐 11:00-13:00；晚餐 17:00-19:00,咸鲜|清汤,面食,清真需求|西北同学|面食偏好人群,清真友好,咸鲜|清淡|汤类,面食,清真|西北同学|面食,清真,咸鲜|清淡|汤类|面食|清真|西北同学|牛羊肉,10.0,18.0,1.59,0.71,OPEN
